Informazioni cronologiche;Computer experience;Apps experience;Serious game knoledge ;Security knowledge;Level of enjoyment;level of involvement;Level of tiredness;Level of boring
5/10/2021 19:17:30;5;5;5;4;5;5;1;2
5/11/2021 9:08:50;5;5;5;4;5;5;3;1
5/11/2021 9:12:00;5;5;1;4;3;3;1;2
5/11/2021 12:12:02;5;4;4;4;4;3;1;4
5/11/2021 12:15:57;3;2;1;3;3;3;1;2
5/11/2021 13:14:51;3;3;2;2;5;5;1;1
5/11/2021 13:34:40;5;3;2;3;4;2;1;3
5/11/2021 16:21:09;3;2;1;1;3;2;1;3
5/11/2021 16:36:47;5;4;4;3;5;3;1;2
